HRHHID,OCCURNUM,YYYYMM,PEEDUCA,PEMARITL,PESEX,PRTAGE,PRTFAGE,PERACE,GTCMSA,GESTCEN,PTERNWA,PRVEL,PES3,PES4,PES5,PES6,PES7,PWSSWGT,PWORWGT
003951919995,1,199411,34,1,1,26,0,1,-1,71,21474836.47,1,2,2,-9,2,1,1611.4001,0.0000
003951919995,2,199411,41,1,2,25,0,1,-1,71,21474836.47,1,2,2,-9,2,1,1611.7204,0.0000
003951919995,3,199411,-1,-1,2,3,0,1,-1,71,21474836.47,3,-1,-1,-1,-1,-1,1230.0260,0.0000
190199550399,1,199411,40,6,1,21,0,1,-1,71,21474836.47,1,1,-9,1,2,1,1589.2911,0.0000
190199550399,2,199411,39,6,1,21,0,1,-1,71,21474836.47,1,1,-9,4,2,2,1589.2911,0.0000
951959390091,1,199411,39,4,2,23,0,1,-1,71,21474836.47,1,2,2,-9,3,1,1376.6505,0.0000
951959390091,3,199411,-1,-1,2,1,0,1,-1,71,21474836.47,3,-1,-1,-1,-1,-1,1435.5581,0.0000
951959390091,4,199411,36,4,1,24,0,1,-1,71,21474836.47,1,2,2,-9,2,1,1589.2911,0.0000
955996904101,1,199411,44,1,1,46,0,4,-1,71,21474836.47,1,1,-9,3,6,1,1263.4031,0.0000
955996904101,2,199411,43,1,2,40,0,4,-1,71,21474836.47,1,1,-9,4,6,2,1029.6048,0.0000
955996904101,3,199411,36,6,1,16,0,4,-1,71,21474836.47,3,-1,-1,-1,-1,-1,1059.4724,0.0000
955996904101,4,199411,-1,-1,2,14,0,4,-1,71,21474836.47,3,-1,-1,-1,-1,-1,819.8289,0.0000
955996904101,5,199411,-1,-1,2,9,0,4,-1,71,21474836.47,3,-1,-1,-1,-1,-1,873.9624,0.0000
199505641990,1,199411,39,1,1,87,0,1,-1,71,21474836.47,1,2,1,-9,6,1,1536.4582,0.0000
199505641990,2,199411,44,1,2,84,0,1,-1,71,21474836.47,1,2,1,-9,6,1,1554.3936,0.0000
409190199655,1,199411,40,1,1,33,0,1,-1,71,21474836.47,2,-9,-9,-9,-9,-9,1701.4744,0.0000
409190199655,2,199411,40,1,2,26,0,1,-1,71,21474836.47,2,-9,-9,-9,-9,-9,1715.0095,0.0000
207201953890,1,199411,41,1,2,30,0,2,-1,71,21474836.47,1,2,1,-9,6,1,1391.9940,5481.5074
